N,M,Alpha,Max_Iterations,Converged,Iterations_To_Converge,Delta_max,Delta_convergence,Random_seed
1001,300,0.2997002997002997,10000,True,834,27,27,0
1001,300,0.2997002997002997,10000,True,1498,-35,-59,1
1001,300,0.2997002997002997,10000,True,1452,-31,-55,2
1001,300,0.2997002997002997,10000,True,1402,-41,-73,3
1001,300,0.2997002997002997,10000,True,1490,-55,-59,4
1001,300,0.2997002997002997,10000,True,1521,-41,-69,5
1001,300,0.2997002997002997,10000,True,879,25,25,6
1001,300,0.2997002997002997,10000,True,1517,-33,-65,7
1001,300,0.2997002997002997,10000,True,1512,-43,-57,8
1001,300,0.2997002997002997,10000,True,1477,-39,-55,9
1001,300,0.2997002997002997,10000,True,1514,-51,-57,10
1001,300,0.2997002997002997,10000,True,1392,-39,-59,11
